Attack_Type,Precision,Recall,F1_Score,Support,Accuracy
Generic,0.9945759793370641,0.9811448955325293,0.9878147847278635,11774,0.9811448955325293
Normal,0.8750498802873105,0.9431720430107526,0.9078348168081143,18600,0.9431720430107526
Reconnaissance,0.9220338983050848,0.777698355968549,0.843737882900349,2798,0.777698355968549
Exploits,0.6132505795259104,0.920943290286356,0.7362420324984289,8905,0.920943290286356
Fuzzers,0.6863436123348018,0.4819550422767581,0.5662708989580809,4849,0.4819550422767581
Shellcode,0.5058479532163743,0.5728476821192053,0.5372670807453416,302,0.5728476821192053
Worms,0.34615384615384615,0.2571428571428571,0.29508196721311475,35,0.2571428571428571
Backdoor,0.92,0.09871244635193133,0.17829457364341086,466,0.09871244635193133
Analysis,0.9183673469387755,0.08411214953271028,0.1541095890410959,535,0.08411214953271028
DoS,0.6666666666666666,0.054417609293793946,0.10062182023742228,3271,0.054417609293793946
