Class,Original_Accuracy,Tuned_Accuracy,Improvement
Worms,0.2571428571428571,0.3142857142857143,0.05714285714285716
Fuzzers,0.4819550422767581,0.5355743452258197,0.05361930294906159
Shellcode,0.5728476821192053,0.6125827814569537,0.039735099337748325
Analysis,0.08411214953271028,0.11214953271028037,0.028037383177570097
DoS,0.054417609293793946,0.060226230510547235,0.005808621216753289
Exploits,0.920943290286356,0.9254351487928131,0.004491858506457058
Backdoor,0.09871244635193133,0.10085836909871244,0.0021459227467811176
Generic,0.9811448955325293,0.9806352981144896,-0.0005095974180396867
Reconnaissance,0.777698355968549,0.7737669764117227,-0.00393137955682632
Normal,0.9431720430107526,0.9376881720430108,-0.005483870967741833
