feature,importance
remainder__cat__service_dns,0.44830966
num__remainder__swin,0.16421105
remainder__cat__proto_udp,0.052699797
remainder__cat__proto_unas,0.045278624
remainder__cat__proto_arp,0.03666661
remainder__cat__service_-,0.022065423
num__remainder__tcprtt,0.020975685
num__remainder__dload,0.020603579
remainder__cat__proto_other,0.01909877
remainder__cat__proto_ospf,0.016296096
num__remainder__sload,0.014622949
num__remainder__smean,0.012994536
num__remainder__dbytes,0.011139657
remainder__cat__service_ftp-data,0.010879489
num__remainder__dmean,0.010571722
num__remainder__ct_dst_sport_ltm,0.0092095
remainder__cat__state_CON,0.00890146
remainder__cat__service_http,0.0076617473
num__remainder__ct_src_dport_ltm,0.0061570904
num__remainder__synack,0.0053825346
num__remainder__sbytes,0.0051578996
num__remainder__sloss,0.0047939285
num__remainder__spkts,0.0043319594
num__remainder__dloss,0.0041206367
remainder__cat__state_REQ,0.0033195596
remainder__remainder__is_sm_ips_ports,0.0030647242
num__remainder__ackdat,0.0030645472
num__remainder__dpkts,0.0026854353
num__remainder__response_body_len,0.0025603687
remainder__cat__state_FIN,0.0022801005
remainder__cat__service_other,0.002090583
remainder__cat__service_smtp,0.0020130235
num__remainder__is_ftp_login,0.0019133748
num__remainder__ct_flw_http_mthd,0.001791275
remainder__cat__service_ftp,0.0016209421
remainder__cat__state_INT,0.0015811352
num__remainder__dinpkt,0.0012963328
num__remainder__djit,0.0012318746
num__remainder__rate,0.0012097226
num__remainder__trans_depth,0.0011080182
remainder__cat__state_other,0.0010874075
num__remainder__sjit,0.00095466076
num__remainder__sinpkt,0.0008973748
num__remainder__ct_ftp_cmd,0.0006760653
num__remainder__stcpb,0.00044140007
num__remainder__dtcpb,0.0004111292
num__remainder__dur,0.00039782893
num__remainder__dwin,0.00017276246
remainder__cat__proto_tcp,0.0
